codgeo,libgeo,valeurfonc_median_cod111,valeurfonc_median_cod121
30001,Aigaliers,,
30002,Aigremont,239680.0,
30003,Aigues-Mortes,326500.0,159375.0
30004,Aigues-Vives,311051.0,
30005,Aiguèze,,
30006,Aimargues,276300.0,
30007,Alès,184000.0,75000.0
30008,Allègre-les-Fumades,174000.0,
30009,Alzon,,
30010,Anduze,200000.0,
30011,Les Angles,340000.0,177075.0
30012,Aramon,192950.0,
30013,Argilliers,,
30014,Arpaillargues-et-Aureillac,335000.0,
30015,Arphy,,
30016,Arre,,
30017,Arrigas,,
30018,Aspères,,
30019,Aubais,330950.0,
30020,Aubord,,
30021,Aubussargues,,
30022,Aujac,,
30023,Aujargues,324500.0,
30023,Aujargues,324500.0,
30025,Aumessas,,
30026,Avèze,,
30027,Bagard,252500.0,
30028,Bagnols-sur-Cèze,216800.0,84425.0
30029,Barjac,227500.0,
30030,Baron,,
30031,La Bastide-d'Engras,,
30032,Beaucaire,216328.5,67000.0
30033,Beauvoisin,270170.0,
30034,Bellegarde,253000.0,
30035,Belvézet,,
30036,Bernis,248101.0,
30037,Bessèges,145000.0,
30038,Bez-et-Esparon,,
30038,Bez-et-Esparon,,
30038,Bez-et-Esparon,,
30041,Blauzac,352000.0,
30042,Boisset-et-Gaujac,310000.0,
30043,Boissières,,
30044,Bonnevaux,,
30045,Bordezac,,
30046,Boucoiran-et-Nozières,,
30047,Bouillargues,248000.0,
30048,Bouquet,,
30049,Bourdic,,
30050,Bragassargues,,
30051,Branoux-les-Taillades,145000.0,
30052,Bréau-Mars,,
30052,Bréau-Mars,,
30054,Brouzet-lès-Quissac,,
30055,Brouzet-lès-Alès,,
30056,La Bruguière,,
30057,Cabrières,277750.0,
30058,La Cadière-et-Cambo,,
30059,Le Cailar,254000.0,
30060,Caissargues,270000.0,
30061,La Calmette,259510.0,
30062,Calvisson,300000.0,125880.0
30064,Campestre-et-Luc,,
30065,Canaules-et-Argentières,,
30066,Cannes-et-Clairan,,
30067,La Capelle-et-Masmolène,,
30068,Cardet,,
30069,Carnas,,
30070,Carsan,,
30071,Cassagnoles,,
30071,Cassagnoles,,
30073,Castillon-du-Gard,450175.0,
30073,Castillon-du-Gard,450175.0,
30075,Caveirac,263000.0,
30076,Cavillargues,,
30077,Cendras,,
30079,Chambon,,
30080,Chamborigaud,107500.0,
30081,Chusclan,,
30082,Clarensac,300300.0,
30083,Codognan,320500.0,
30084,Codolet,,
30085,Collias,303137.5,
30086,Collorgues,,
30087,Colognac,,
30087,Colognac,,
30089,Comps,228020.0,
30090,Concoules,,
30091,Congénies,300000.0,
30092,Connaux,238855.0,
30093,Conqueyrac,,
30093,Conqueyrac,,
30095,Corconne,,
30096,Cornillon,,
30097,Courry,,
30097,Courry,,
30099,Cros,,
30100,Cruviers-Lascours,,
30101,Deaux,,
30102,Dions,202500.0,
30102,Dions,202500.0,
30104,Domessargues,,
30105,Dourbies,,
30106,Durfort-et-Saint-Martin-de-Sossenac,,
30107,Estézargues,,
30108,L'Estréchure,,
30109,Euzet,,
30110,Flaux,322000.0,
30111,Foissac,,
30112,Fons,259550.0,
30113,Fons-sur-Lussan,,
30114,Fontanès,,
30115,Fontarèches,,
30116,Fournès,173000.0,
30117,Fourques,195000.0,
30117,Fourques,195000.0,
30120,Gagnières,,
30121,Gailhan,,
30122,Gajan,,
30123,Gallargues-le-Montueux,291300.0,
30123,Gallargues-le-Montueux,291300.0,
30125,Garons,268545.0,
30126,Garrigues-Sainte-Eulalie,379950.0,
30127,Gaujac,224400.0,
30128,Générac,205930.0,
30129,Générargues,,
30130,Génolhac,,
30131,Goudargues,296600.0,
30132,La Grand-Combe,97000.0,40000.0
30133,Le Grau-du-Roi,427000.0,148000.0
30134,Issirac,,
30135,Jonquières-Saint-Vincent,200000.0,
30136,Junas,298800.0,
30137,Lamelouze,,
30138,Langlade,333500.0,
30139,Lanuéjols,,
30140,Lasalle,110000.0,
30141,Laudun-l'Ardoise,242500.0,
30142,Laval-Pradel,,
30143,Laval-Saint-Roman,,
30144,Lecques,,
30145,Lédenon,235000.0,
30146,Lédignan,,
30147,Lézan,,
30148,Liouc,,
30149,Lirac,,
30150,Logrian-Florian,,
30151,Lussan,339200.0,
30152,Les Mages,245000.0,
30153,Malons-et-Elze,,
30154,Mandagout,,
30155,Manduel,261000.0,
30156,Marguerittes,257200.0,120000.0
30158,Martignargues,,
30159,Le Martinet,,
30160,Maruéjols-lès-Gardon,,
30161,Massanes,,
30162,Massillargues-Attuech,257000.0,
30163,Mauressargues,,
30164,Méjannes-le-Clap,160000.0,
30164,Méjannes-le-Clap,160000.0,
30166,Meynes,228050.0,
30167,Meyrannes,,
30168,Mialet,,
30169,Milhaud,253800.0,
30170,Molières-Cavaillac,195000.0,
30171,Molières-sur-Cèze,,
30172,Monoblet,,
30173,Mons,226000.0,
30174,Montaren-et-Saint-Médiers,284750.0,
30175,Montclus,,
30176,Montdardier,,
30177,Monteils,,
30178,Montfaucon,234500.0,
30179,Montfrin,190000.0,
30180,Montignargues,,
30181,Montmirat,,
30182,Montpezat,,
30183,Moulézan,,
30184,Moussac,225760.0,
30185,Mus,342350.0,
30186,Nages-et-Solorgues,355142.875,
30186,Nages-et-Solorgues,355142.875,
30188,Ners,,
30188,Ners,,
30191,Orsan,193000.0,
30192,Orthoux-Sérignac-Quilhan,,
30193,Parignargues,,
30194,Peyremale,,
30195,Peyrolles,,
30196,Le Pin,,
30196,Le Pin,,
30198,Les Plantiers,,
30199,Pommiers,,
30200,Pompignan,149000.0,
30201,Ponteils-et-Brésis,,
30202,Pont-Saint-Esprit,200000.0,83750.0
30203,Portes,,
30204,Potelières,,
30205,Pougnadoresse,,
30206,Poulx,311359.0,
30207,Pouzilhac,272300.0,
30208,Puechredon,,
30209,Pujaut,369650.0,
30210,Quissac,231000.0,
30211,Redessan,213000.0,
30212,Remoulins,145085.0,
30213,Revens,,
30214,Ribaute-les-Tavernes,250000.0,
30215,Rivières,,
30216,Robiac-Rochessadoule,122500.0,
30217,Rochefort-du-Gard,310525.0,
30218,Rochegude,,
30219,Rogues,,
30220,Roquedur,,
30221,Roquemaure,225000.0,
30222,La Roque-sur-Cèze,,
30223,Rousson,225000.0,
30224,La Rouvière,,
30225,Sabran,148000.0,
30226,Saint-Alexandre,,
30227,Saint-Ambroix,172550.0,
30228,Sainte-Anastasie,254918.5,
30229,Saint-André-de-Majencoules,,
30230,Saint-André-de-Roquepertuis,253830.0,
30231,Saint-André-de-Valborgne,,
30232,Saint-André-d'Olérargues,,
30233,Saint-Bauzély,,
30234,Saint-Bénézet,,
30235,Saint-Bonnet-du-Gard,169000.0,
30236,Saint-Bonnet-de-Salendrinque,,
30237,Saint-Brès,,
30238,Saint-Bresson,,
30239,Sainte-Cécile-d'Andorge,,
30240,Saint-Césaire-de-Gauzignan,,
30241,Saint-Chaptes,282085.0,
30242,Saint-Christol-de-Rodières,,
30243,Saint-Christol-lez-Alès,219710.0,
30244,Saint-Clément,,
30245,Saint-Côme-et-Maruéjols,,
30246,Sainte-Croix-de-Caderle,,
30247,Saint-Denis,,
30248,Saint-Dézéry,,
30249,Saint-Dionisy,,
30249,Saint-Dionisy,,
30251,Saint-Étienne-des-Sorts,,
30252,Saint-Félix-de-Pallières,,
30253,Saint-Florent-sur-Auzonnet,220750.0,
30254,Saint-Geniès-de-Comolas,254225.0,
30255,Saint-Geniès-de-Malgoirès,231415.0,
30256,Saint-Gervais,145000.0,
30257,Saint-Gervasy,281200.0,
30258,Saint-Gilles,217000.0,86000.0
30259,Saint-Hilaire-de-Brethmas,227200.0,
30260,Saint-Hilaire-d'Ozilhan,304200.0,
30261,Saint-Hippolyte-de-Caton,,
30262,Saint-Hippolyte-de-Montaigu,,
30263,Saint-Hippolyte-du-Fort,149745.0,
30264,Saint-Jean-de-Ceyrargues,,
30265,Saint-Jean-de-Crieulon,,
30266,Saint-Jean-de-Maruéjols-et-Avéjan,205000.0,
30267,Saint-Jean-de-Serres,134500.0,
30268,Saint-Jean-de-Valériscle,,
30269,Saint-Jean-du-Gard,202500.0,
30270,Saint-Jean-du-Pin,,
30271,Saint-Julien-de-Cassagnas,,
30272,Saint-Julien-de-la-Nef,,
30273,Saint-Julien-de-Peyrolas,265000.0,
30274,Saint-Julien-les-Rosiers,234425.0,
30275,Saint-Just-et-Vacquières,,
30276,Saint-Laurent-d'Aigouze,250000.0,
30277,Saint-Laurent-de-Carnols,,
30278,Saint-Laurent-des-Arbres,292050.0,
30279,Saint-Laurent-la-Vernède,247000.0,
30280,Saint-Laurent-le-Minier,,
30281,Saint-Mamert-du-Gard,244251.0,
30282,Saint-Marcel-de-Careiret,,
30283,Saint-Martial,,
30284,Saint-Martin-de-Valgalgues,180900.0,
30285,Saint-Maurice-de-Cazevieille,,
30286,Saint-Maximin,317125.0,
30287,Saint-Michel-d'Euzet,,
30288,Saint-Nazaire,,
30289,Saint-Nazaire-des-Gardies,,
30290,Saint-Paulet-de-Caisson,285000.0,
30291,Saint-Paul-la-Coste,,
30292,Saint-Pons-la-Calm,,
30293,Saint-Privat-de-Champclos,,
30294,Saint-Privat-des-Vieux,234050.0,
30295,Saint-Quentin-la-Poterie,301900.0,
30296,Saint-Roman-de-Codières,,
30297,Saint-Sauveur-Camprieu,160000.0,
30298,Saint-Sébastien-d'Aigrefeuille,,
30299,Saint-Siffret,485285.0,
30300,Saint-Théodorit,,
30301,Saint-Victor-des-Oules,,
30301,Saint-Victor-des-Oules,,
30303,Saint-Victor-de-Malcap,,
30304,Salazac,,
30305,Salindres,175000.0,
30306,Salinelles,,
30307,Les Salles-du-Gardon,135000.0,
30308,Sanilhac-Sagriès,,
30309,Sardan,,
30309,Sardan,,
30311,Sauve,177915.0,79250.0
30312,Sauveterre,373400.0,
30313,Sauzet,,
30314,Savignargues,,
30315,Saze,300000.0,
30316,Sénéchas,,
30316,Sénéchas,,
30318,Servas,,
30319,Serviers-et-Labaume,,
30320,Seynes,,
30321,Sommières,270950.0,115000.0
30322,Soudorgues,,
30323,Soustelle,,
30323,Soustelle,,
30325,Sumène,,
30326,Tavel,171500.0,
30327,Tharaux,,
30328,Théziers,,
30329,Thoiras,,
30330,Tornac,,
30330,Tornac,,
30332,Trèves,,
30332,Trèves,,
30334,Uzès,369050.0,154870.0
30335,Vabres,,
30336,Vallabrègues,205000.0,
30337,Vallabrix,,
30338,Vallérargues,,
30339,Val-d'Aigoual,115000.0,62307.0
30339,Val-d'Aigoual,115000.0,62307.0
30341,Vauvert,245000.0,125950.0
30342,Vénéjan,,
30343,Verfeuil,,
30344,Vergèze,309950.0,
30345,La Vernarède,,
30346,Vers-Pont-du-Gard,295350.0,
30347,Vestric-et-Candiac,,
30348,Vézénobres,,
30349,Vic-le-Fesq,299370.0,
30350,Le Vigan,155000.0,57000.0
30351,Villeneuve-lès-Avignon,385000.0,185000.0
30352,Villevieille,338777.5,
30353,Vissec,,
30354,Montagnac,,
30355,Saint-Paul-les-Fonts,,
30356,Rodilhan,241050.0,87000.0
